CCA Record,Name,Full Name,URL,Recognition,Notability,Date,Discipline,Write-up,Media,New
Yes,GoTourLah / Splash Awards 2021,Splash Awards 2021,https://www.scs.org.sg/awards/splash/2021/competition-details,1st Runner Up,High,"September 24, 2021","Engineering, Innovation",,Portfolio%2012c16582503441148d442bbab9528bdd/Splash.jpg,Yes
Yes,SASMO 2021,Singapore and Asian Schools Math Olympiad 2021,https://sasmo.sg/sasmo-2021-results/,Silver,Medium,"April 12, 2021",,,"Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2021.png, Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2021.pdf",Yes
No,SASMO 2019,Singapore and Asian Schools Math Olympiad 2019,https://sasmo.sg/sasmo-2019-results3/,Bronze,Medium,"May 6, 2019",,,"Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2019.png, Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2019.pdf",Yes
No,SASMO 2017,Singapore and Asian Schools Math Olympiad 2017,https://sasmo.sg/sasmo-2017-results/,Silver,Medium,"September 30, 2017",,,"Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2017.png, Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2017.pdf",Yes
No,SASMO 2016,Singapore and Asian Schools Math Olympiad 2016,https://sasmo.sg/sasmo-2016-results/,Silver,Medium,"October 14, 2016",,,"Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2016.png, Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2016.pdf",Yes
No,SASMO 2015,Singapore and Asian Schools Math Olympiad 2015,https://sasmo.sg/sasmo-2015-results/,Silver,Medium,"April 6, 2015",,,"Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2015.png, Portfolio%2012c16582503441148d442bbab9528bdd/SASMO_2015.pdf",Yes
Yes,DrCT 2021,Design-Thinking with Robotics and Computational Thinking International Competition 2021,https://www.simcconline.org/drct/,Gold,High,"April 5, 2021",,,"Portfolio%2012c16582503441148d442bbab9528bdd/DrCT_2021.png, Portfolio%2012c16582503441148d442bbab9528bdd/DrCT_2021.pdf",Yes
Yes,NSC 2021,National Software Competition 2021,https://www.sp.edu.sg/soc/news/soc/national-software-competition-2019,Gold,High,"June 17, 2021",,,"Portfolio%2012c16582503441148d442bbab9528bdd/NSC_2021.png, Portfolio%2012c16582503441148d442bbab9528bdd/NSC_2021.pdf",Yes
No,IDE Series 2019,"Innovation, Design and Engineering Series 2019",http://ideseries.org/,9th Place,Low,"March 21, 2019",,,"Portfolio%2012c16582503441148d442bbab9528bdd/IDE_2019.png, Portfolio%2012c16582503441148d442bbab9528bdd/IDE_2019.pdf",Yes
Yes,SST Inc TDP ExCo 2020,SST Inc Talent Development Programme Executive Committee 2020,https://www.sstinc.org,"ExCo (CTO, React)",Medium,"April 13, 2020","Coding, Leadership",,"Portfolio%2012c16582503441148d442bbab9528bdd/SSTINC_2020.png, Portfolio%2012c16582503441148d442bbab9528bdd/SSTINC_2020.pdf",Yes
